who,lang,text
person.KETK_83268469,nob,1
person.KETK_85197108,nob,1
person.KETS,nno,2
person.KETS,nob,640
person.KHJ,nob,3
person.KIAH,nob,1
person.KIB,nob,200
person.KIB_34954184,nob,1
person.KIB_52649583,nob,1
person.KIB_52837483,nob,1
person.KIB_660596118,nob,1
person.KIB_731702110,nob,1
person.KIB_853162112,nob,1
person.KILE,nno,2
person.KILE,nob,258
person.KJEFUN,nob,23
person.KJR,nno,2
person.KJR,nob,573
person.KJR_722211109,nob,1
person.KJT,nno,1260
person.KJT,nob,34
person.KJT_14634472,nno,1
person.KJT_234536116,nno,1
person.KJT_306760118,nno,1
person.KJT_32574109,nno,1
person.KJT_60484969,nno,1
person.KJT_73582197,nno,1
person.KJT_801519109,nno,1
person.KJT_901288109,nno,1
person.KJU,nob,93
person.KKK,nob,136
person.KKK_64282101,nob,1
person.KKK_65900972,nob,1
person.KKK_70992783,nob,1
person.KMF,nno,4
person.KMP,nob,7
person.KNAH,nno,748
person.KNUS,nob,79
person.KOJ,nob,203
person.KRA,nob,2
person.KRIH,nob,1
person.KRO,nob,6
person.KRRH,nob,89
person.KRT,nno,1
person.KRT,nob,13
person.KRV,nob,22
person.KRW,nob,5
person.KSIM,nob,39
person.KSIM_51896465,nob,1
person.KSIM_845563112,nob,1
person.KTR,nob,74
person.KWI,nob,1
person.LAD,nob,14
person.LAG,nob,2
person.LAHA,nno,10
person.LAHA,nob,663
person.LAJ,nob,31
person.LANBER,nob,31
person.LARREM,nob,4
person.LBF,nob,31
person.LCH,nno,2
person.LCH,nob,652
person.LCH_16323199,nob,1
person.LCWH,nno,1
person.LCWH,nob,118
person.LDL_65186869,nob,1
person.LDL_764351118,nob,1
person.LEEE,nob,2
person.LEIS,nno,39
person.LEIS,nob,1
person.LHH,nob,92
person.LHS,nob,21
person.LIB,nob,25
person.LIC,nno,4
person.LIC,nob,447
person.LIE,nno,138
person.LIG,nob,13
person.LIM,nno,25
person.LIM,nob,1
person.LIS,nob,2
person.LISKLU,nno,25
person.LISSEL,nob,19
person.LKI,nob,1
person.LRE,nno,2
person.LSN,nno,463
person.LSN_276115111,nno,1
person.LVA,nno,423
person.LVA,nob,5
person.LVE,nob,2
person.LW,nob,15
person.MAA,nno,2
person.MAA,nob,678
person.MAAA,nob,78
person.MAAH,nno,1
person.MAAH,nob,114
person.MABL,nob,7
person.MAGR,nno,67
person.MAHAG,nob,143
person.MAHF,nob,36
person.MAKO,nno,1
person.MAKO,nob,229
person.MAKO_10442872,nob,1
person.MAKO_23497974,nob,1
person.MAKO_40247074,nob,1
person.MAKO_43810365,nob,1
person.MAKO_62360101,nob,1
person.MAM,nob,72
person.MAO,nno,3
person.MARGRT,nob,40
person.MARKLO,nob,3
person.MARKVE,nob,1
person.MARMAR,nno,1
person.MARMAR,nob,76
person.MARNIL,nob,92
person.MARPER,nob,286
person.MASG,nob,178
person.MAT,nob,3
person.MATB,nob,3
person.MBE,nob,32
person.MBER,nno,1
person.MBER,nob,7
person.MBRE,nob,13
person.MCG,nob,5
person.MEBB,nob,131
person.MET,nob,11
person.MHAA,nob,15
person.MHAU,nob,94
person.MHE,nob,338
person.MHER,nob,5
person.MHL,nob,205
person.MHU,nob,37
person.MIT,nob,214
person.MIT_490445110,nob,1
person.MIT_66085172,nob,1
person.MIT_72393165,nob,1
person.MKE,nob,25
person.MKI,nob,18
person.MKS,nno,5
person.MKS,nob,504
person.MLF,nno,5
person.MLF,nob,396
person.MME,nob,6
person.MMIKRI,nno,1
person.MMIKRI,nob,68
person.MMJ,nob,30
person.MN,nob,40
person.MN_47922565,nob,1
person.MN_72357765,nob,1
person.MOJ,nno,1
person.MOJ,nob,119
person.MOM,nno,1
person.MOM,nob,1162
person.MONNIL,nob,14
person.MOW,nno,1
person.MOW,nob,139
person.MS,nob,51
person.MTY,nob,163
person.MUK,nob,188
person.NA,nno,2
person.NA,nob,607
person.NAJ,nob,126
person.NCA,nob,12
person.NEM,nob,3
person.NF,nob,14
person.NIR,nob,4
person.NISA,nob,240
person.NITB,nno,250
person.NITB,nob,1
person.NIW,nno,3
person.NIW,nob,452
person.NKS,nno,4
person.NKS,nob,380
person.NSSMAR,nob,32
person.NTB,nob,105
person.OAM,nno,3
person.OAM,nob,396
person.OBM,nob,99
person.OBT,nno,208
person.OBT,nob,2
person.OBT_363137108,nno,1
person.OCS,nob,8
person.ODDH,nob,12
person.ODDHOV,nno,18
person.ODDHOV,nob,2
person.ODI,nob,4
person.ODIN,nob,169
person.ODO,nob,61
person.OG,nno,46
person.OG_50520072,nno,1
person.OHA,nob,168
person.OJ,nob,1
person.OLE,nno,3
person.OLE,nob,988
person.OLET,nob,97
person.OLVGRO,nno,56
person.ORE,nob,71
person.OSU,nno,22
person.OVB,nno,4
person.OVB,nob,695
person.OVB_38157369,nob,1
person.OVB_569374101,nob,1
person.OVB_88902083,nob,1
person.OVV,nob,1
person.OYK,nob,20
person.OYSH,nob,1
person.PAF,nob,66
person.PCF,nob,125
person.PEEI,nno,4
person.PEEI,nob,341
person.PEMY,nob,9
person.PERKJL,nno,1
person.PERKJL,nob,32
person.PERTYL,nob,14
person.PES,nob,247
person.PMS,nob,44
person.POL,nno,13
person.POL,nob,1076
person.POL_18961865,nob,1
person.POL_26963565,nob,1
person.POL_34251074,nob,1
person.POL_48891969,nob,1
person.POL_514188102,nob,1
person.PRH,nob,37
person.PSE,nob,1
person.PSK,nob,5
person.PST,nno,2
person.PST,nob,295
person.PSV,nob,2
person.PTA,nob,558
person.RAE,nob,54
person.RAGHAR,nob,12
person.RAISMA,nob,19
person.RAJH,nno,1
person.RAJH,nob,267
person.RFN,nob,1
person.RHK,nob,2
person.RIAJ,nno,3
person.RIAJ,nob,370
person.RIAJ_354668101,nob,1
person.RIAJ_37990469,nob,1
person.RIAJ_41466112,nob,1
person.RIAJ_868146116,nob,1
person.RIL,nob,1
person.RNA,nob,9
person.ROYS,nno,4
person.ROYS,nob,235
person.RSJ,nob,98
person.RSO,nob,8
person.RUG,nno,1
person.RUG,nob,287
person.RUNSTS,nob,15
person.RVO,nob,3
person.RWK,nob,1
person.SAB,nob,66
person.SAF,nob,19
person.SAHS,nno,1
person.SARBEL,nob,15
person.SEA,nob,209
person.SEKBAK,nno,29
person.SEL,nno,3
person.SEL,nob,316
person.SGN,nno,64
person.SGS,nob,208
person.SHAR,nno,1
person.SHAR,nob,141
person.SHAR_691138116,nob,1
person.SHB,nno,1
person.SHB,nob,229
person.SHES,nob,83
person.SHIL,nob,10
person.SHJ,nob,59
person.SHK,nno,1
person.SHK,nob,247
person.SI,nno,6
person.SI,nob,8
person.SIF,nno,18
person.SIF,nob,1
person.SIGJE,nno,10
person.SIGJE,nob,899
person.SIGRAF,nob,2
person.SIHJE,nno,1
person.SIHJE,nob,276
person.SIMOS,nno,9
person.SIMOS,nob,448
person.SIVJ,nob,852
person.SKJHAM,nob,1
person.SL,nno,208
person.SL,nob,2
person.SME,nob,20
person.SMG,nno,5
person.SMY,nno,3
person.SMY,nob,467
person.SNB,nno,4
person.SNB,nob,373
person.SNV,nno,1
person.SNV,nob,108
person.SOFHGE,nno,1
person.SOFHGE,nob,12
person.SOFMAR,nno,1
person.SOFMAR,nob,133
person.SOLVES,nno,1
person.SOLVIT,nob,15
person.SOM,nob,42
person.SOMS,nno,1
person.SOMS,nob,3
person.SOM_879758108,nob,1
person.SR,nno,2
person.SR,nob,275
person.SRH,nob,178
person.SSA,nno,77
person.SSC,nob,101
person.SSF,nob,55
person.STEG,nob,6
person.STEK,nob,13
person.STMH,nob,207
person.STMH_48388774,nob,1
person.STMO,nob,6
person.STRH,nob,28
person.SUR,nob,1
person.SVES,nno,1
person.SVES,nob,238
person.SVES_152890110,nob,1
person.SVES_660580107,nob,1
person.SVES_93145374,nob,1
person.SVR,nno,624
person.SVR,nob,3
person.SVR_12310585,nno,1
person.SVR_49582769,nno,1
person.SVR_76255072,nno,1
person.SVR_89009985,nno,1
person.SVR_904975108,nno,1
person.SVR_99265783,nno,1
person.SYG,nob,19
person.SYG_921408101,nob,1
person.SYL,nob,465
person.TAGP,nob,191
person.TAJ,nob,228
person.TALI,nob,37
person.TAML,nob,3
person.TBK,nob,3
person.TEB,nno,247
person.TEB,nob,3
person.TEIV,nno,1
person.TELA,nno,3
person.TELA,nob,639
person.TERH,nno,1
person.TERH,nob,256
person.TERHAN,nno,1
person.TERHAN,nob,13
person.TERS,nob,24
person.TG,nob,201
person.THAM,nob,14
person.THBH,nob,7
person.TIB,nno,1
person.TIB,nob,356
person.TIK,nno,1
person.TIK,nob,25
person.TIM,nno,3
person.TIM,nob,219
person.TKA,nob,18
person.TKF,nno,852
person.TKF,nob,15
person.TKF_510510110,nno,1
person.TKF_780050111,nno,1
person.TKK,nob,80
person.TKK_187630108,nob,1
person.TKK_2115672,nob,1
person.TKK_25455997,nob,1
person.TKK_328468110,nob,1
person.TKK_71381897,nob,1
person.TKK_722450118,nob,1
person.TKK_726056108,nob,1
person.TKK_747128110,nob,1
person.TKK_92474169,nob,1
person.TMI,nob,43
person.TMS,nob,32
