id,source
ParlaMint-NO_2009-01-08-lower,o090108
ParlaMint-NO_2009-02-04,s090204
ParlaMint-NO_2009-04-02-upper,l090402
ParlaMint-NO_2009-06-08-lower,o090608
ParlaMint-NO_2009-06-19,s090619
ParlaMint-NO_2009-06-10,s090610
ParlaMint-NO_2008-12-12,s081212
ParlaMint-NO_2009-06-02-lower,o090602
ParlaMint-NO_2009-02-10,s090210
ParlaMint-NO_2009-01-21,s090121
ParlaMint-NO_2009-04-02,s090402
ParlaMint-NO_2009-02-10-lower,o090210
ParlaMint-NO_2009-02-19-lower,o090219
ParlaMint-NO_2009-02-05,s090205
ParlaMint-NO_2009-06-18-upper,l090618
ParlaMint-NO_2008-11-19,s081119
ParlaMint-NO_2009-02-26,s090226
ParlaMint-NO_2009-02-24-lower,o090224
ParlaMint-NO_2008-12-15,s081215
ParlaMint-NO_2009-05-14-lower,o090514
ParlaMint-NO_2008-10-23-lower,o081023
ParlaMint-NO_2009-03-12,s090312
ParlaMint-NO_2008-12-02,s081202
ParlaMint-NO_2009-02-03-lower,o090203
ParlaMint-NO_2009-03-02-upper,l090302
ParlaMint-NO_2008-10-06-lower,o081006
ParlaMint-NO_2008-10-08,s081008
ParlaMint-NO_2009-05-20,s090520
ParlaMint-NO_2009-05-04-lower,o090504
ParlaMint-NO_2008-10-14,s081014
ParlaMint-NO_2009-06-10-lower,o090610
ParlaMint-NO_2009-05-05,s090505
ParlaMint-NO_2009-04-29,s090429
ParlaMint-NO_2009-06-09,s090609
ParlaMint-NO_2008-10-21,s081021
ParlaMint-NO_2009-05-12,s090512
ParlaMint-NO_2008-11-14-lower,o081114
ParlaMint-NO_2008-12-09-upper,l081209
ParlaMint-NO_2009-05-28-lower,o090528
ParlaMint-NO_2008-12-05-lower,o081205
ParlaMint-NO_2009-05-26-lower,o090526
ParlaMint-NO_2008-12-05,s081205
ParlaMint-NO_2009-05-29-lower,o090529
ParlaMint-NO_2009-05-07-lower,o090507
ParlaMint-NO_2009-05-26,s090526
ParlaMint-NO_2009-02-13,s090213
ParlaMint-NO_2008-12-17,s081217
ParlaMint-NO_2008-11-25,s081125
ParlaMint-NO_2009-04-28-upper,l090428
ParlaMint-NO_2009-04-02-lower,o090402
ParlaMint-NO_2008-10-07,s081007
ParlaMint-NO_2008-11-03-upper,l081103
ParlaMint-NO_2009-06-04-lower,o090604
ParlaMint-NO_2009-06-15,s090615
ParlaMint-NO_2008-12-18,s081218
