,name,id
82,Vidar Bjørnstad (A),VB
83,Vidar Bjørnstad (A),VB
84,Akthtar Chaudry,AC
85,Akthtar Chaudry,AC
86,Akthtar Chaudry,AC
87,Bernt Egil Torp (A),BTO
88,Bernt Egil Torp (A),BTO
89,Bernt Egil Torp (A),BTO
90,Bernt Egil Torp (A),BTO
91,Ruth Grung (A),RUG
92,Ruth Grung (A),RUG
93,Ruth Grung (A),RUG
94,Ruth Grung (A),RUG
95,Ruth Grung (A),RUG
96,Ruth Grung (A),RUG
97,Ruth Grung (A),RUG
98,Ruth Grung (A),RUG
99,Ruth Grung (A),RUG
100,Aksel Hagen (SV),AKSH
101,Aksel Hagen (SV),AKSH
102,Aksel Hagen (SV),AKSH
103,Aksel Hagen (SV),AKSH
104,Gunnar Gundersen (H),GAG
105,Gunnar Gundersen (H),GOG
106,Gunnar Gundersen (H),GAG
107,Gunnar Gundersen (H),GOG
108,Gunnar Gundersen (H),GAG
109,Gunnar Gundersen (H),GOG
110,Gunnar Gundersen (H),GAG
111,Gunnar Gundersen (H),GOG
112,Gunnar Gundersen (H),GAG
113,Gunnar Gundersen (H),GOG
114,Gunnar Gundersen (H),GAG
115,Gunnar Gundersen (H),GOG
116,Gunnar Gundersen (H),GAG
117,Gunnar Gundersen (H),GOG
118,Gunnar Gundersen (H),GAG
119,Gunnar Gundersen (H),GOG
120,Gunnar Gundersen (H),GAG
121,Gunnar Gundersen (H),GOG
122,Marie Brekke (KrF),MBRE
123,Marie Brekke (KrF),MBRE
124,Marie Brekke (KrF),MBRE
125,Marie Brekke (KrF),MBRE
126,Marie Brekke (KrF),MBRE
127,Marie Brekke (KrF),MBRE
128,Marie Brekke (KrF),MBRE
129,Marie Brekke (KrF),MBRE
130,Marie Brekke (KrF),MBRE
131,Willfred Nordlund (Sp),WN
132,Willfred Nordlund (Sp),WN
133,Willfred Nordlund (Sp),WN
134,Willfred Nordlund (Sp),WN
135,Karin Andersen (SV),KAAN
136,Karin Andersen (SV),KAAN
137,Karin Andersen (SV),KAAN
138,Karin Andersen (SV),KAAN
139,Karin Andersen (SV),KAAN
140,Karin Andersen (SV),KAAN
141,Karin Andersen (SV),KAAN
142,Karin Andersen (SV),KAAN
143,Karin Andersen (SV),KAAN
144,Statsråd Lars Peder Brekk,LAPB
145,Statsråd Lars Peder Brekk,LAPB
146,Statsråd Lars Peder Brekk,LAPB
147,Statsråd Lars Peder Brekk,LAPB
