,fornavn,etternavn,periode_liste
472,Petter Andreas,Wadstensvik,{2021-2025}
473,Petter,Sortland,{2021-2025}
474,Petter Sexe,Ulriksen,{2021-2025}
475,Pål,Berby,{2021-2025}
476,Pål Koren,Pedersen,{2021-2025}
477,Per Martin,Sandtrøen,"{2021-2025,2017-2021}"
480,Ragnhild Male,Hartviksen,{2021-2025}
481,Rauand,Ismail,{2021-2025}
483,Ramani K. Cornels,Nordli,{2021-2025}
484,René,Rafshol,{2021-2025}
486,Rita Hirsum,Lystad,{2021-2025}
487,Roar,Howlid,{2021-2025}
488,Roald Stigum,Olsen,{2021-2025}
489,Robert,Raustein,{2021-2025}
490,Roble Wehib Jama,Wais,{2021-2025}
493,Renate Sølversen,Berge,"{2021-2025,2017-2021}"
494,Rakel T. Skårslette,Trondal,"{2021-2025,2017-2021,2013-2017}"
495,Rune,Krutå,{2021-2025}
496,Rune,Stenstrøm,{2021-2025}
498,Ruth Grethe Østebøvik,Eriksen,{2021-2025}
499,Rutkay,Sabri,{2021-2025}
500,Ragnhild,Vassvik,"{2021-2025,2009-2013}"
502,Sahar,Madahian,{2021-2025}
503,Sara Hamre,Sekkingstad,"{2021-2025,2017-2021}"
504,Sara,Bell,{2021-2025}
505,Sara-Kristine,Loso,{2021-2025}
508,Åse Kristina,Heien,{2021-2025}
510,Selma,Flo-Munch,{2021-2025}
511,Sigurd Erlend,Reksnes,"{2021-2025,2017-2021,2013-2017}"
512,Solveig Ege,Tengesdal,"{2021-2025,2013-2017}"
513,Sven,Flo,"{2021-2025,2017-2021}"
514,Siri Gåsemyr,Staalesen,"{2021-2025,2017-2021,2009-2013}"
517,Sondre Hansmark,Persen,"{2021-2025,2017-2021}"
518,Sigrid Simensen,Ilsøy,"{2021-2025,2017-2021}"
519,Sigbjørn,Framnes,"{2021-2025,2017-2021,2013-2017}"
520,Sigrid Bjørnhaug,Hammer,{2021-2025}
521,Signe Ramson,Høie,{2021-2025}
523,Sigmund,Lier,{2021-2025}
524,Sigurd,Myrvoll,{2021-2025}
525,Sigurd Kvammen,Rafaelsen,{2021-2025}
526,Signe Bakke,Sølberg,{2021-2025}
527,Sigurd,Stormo,{2021-2025}
528,Sigrid Zurbuchen,Heiberg,{2021-2025}
530,Silje,Bergan,{2021-2025}
531,Silje,Hellesen,{2021-2025}
532,Silje Josten,Kjosbakken,{2021-2025}
533,Silje Kjellesvik,Norheim,{2021-2025}
535,Sindre,Martinsen-Evje,"{2021-2025,2017-2021}"
536,Siri,Borge,{2021-2025}
537,Siri,Sandvik,{2021-2025}
538,Siv Katrin,Ulla,{2021-2025}
539,Skjalg,Hamnes,{2021-2025}
540,Åsmund,Prytz,{2021-2025}
543,Sofie,Høgestøl,{2021-2025}
545,Sofia,Rana,{2021-2025}
546,Solveig,Vestenfor,{2021-2025}
547,Solveig,Vitanza,{2021-2025}
548,Symphorien,Pombe,"{2021-2025,2017-2021,2013-2017}"
549,Solveig,Schytz,"{2021-2025,2017-2021,2013-2017}"
550,Steinar,Krogstad,{2021-2025}
551,Steinar,Rørvik,{2021-2025}
552,Rune Ernst,Østergren,{2021-2025}
553,Stein,Stugu,{2021-2025}
554,Stig Atle,Abrahamsen,"{2021-2025,2017-2021}"
555,Stian,Bakken,{2021-2025}
556,Stina Baarne,Hassel,{2021-2025}
557,Stine,Hjerpbakk,{2021-2025}
558,Stine Jakobsen,Madsø,{2021-2025}
