,fornavn,etternavn,periode_liste
1368,Thor,Lillehovde,"{2013-2017,2009-2013,1997-2001}"
1369,Tor Arne Bell,Ljunggren,{2013-2017}
1371,Tone,Damsleth,{2013-2017}
1372,Tor Erling,Sæthre,{2013-2017}
1373,Tom E. B.,Holthe,{2013-2017}
1374,Torhild,Aarbergsbotten,"{2013-2017,2009-2013}"
1375,Toril,Berge,{2013-2017}
1376,Tove,Alstadsæter,{2013-2017}
1377,Trond Henry,Blattmann,{2013-2017}
1379,Trine Synnøve,Hallem,{2013-2017}
1380,Truls,Wickholm,"{2013-2017,2009-2013,2005-2009}"
1381,Trine Hilmer,Syvertsen,{2013-2017}
1382,Tone-Helen,Toften,{2013-2017}
1383,Thore,Vestby,"{2013-2017,2009-2013}"
1384,Unn Therese,Omdal,"{2013-2017,2005-2009}"
1385,Vilde Følling,Folland,{2013-2017}
1386,Vegard Grøslie,Wennesland,{2013-2017}
1387,Vilde,Danielsen,{2013-2017}
1388,Veronica Pedersen,Åsheim,{2013-2017}
1389,Wenche A. S.,Bjerke,{2013-2017}
1390,Wenche Elin,Solli,{2013-2017}
1391,Wenche Jansen,Tveitan,{2013-2017}
1392,Wenche Kristin Haug,Almestrand,{2013-2017}
1393,Wenche,Olsen,"{2013-2017,2009-2013}"
1395,Frode Knutzen,Midtlund,"{2013-2017,2009-2013}"
1397,Sigmund,Steinnes,{2013-2017}
1398,Alf,Bakkland,{2009-2013}
1399,Abdisamed,Mohamed,{2009-2013}
1400,Akhtar,Chaudhry,"{2009-2013,2005-2009,2001-2005}"
1402,Anne Kristine,Eikebråten,{2009-2013}
1403,Anne Elisabeth,Naper,"{2009-2013,1997-2001}"
1404,Ann-Kristin,Engstad,"{2009-2013,2005-2009}"
1407,Agnar,Hansen,{2009-2013}
1408,Alvhild,Hedstein,"{2009-2013,2005-2009}"
1409,Anne June,Iversen,{2009-2013}
1410,Allan,Johansen,{2009-2013}
1413,Ann-Hege,Lervåg,"{2009-2013,2005-2009}"
1414,Anne Gulvik,Holmsen,"{2009-2013,2001-2005}"
1417,Anne Gro,Olafsen,"{2009-2013,2005-2009}"
1418,Arne,Opsahl-Engen,{2009-2013}
1419,Anita,Orlund,"{2009-2013,2005-2009,2001-2005,1997-2001}"
1420,Amir,Payan,{2009-2013}
1421,Aud,Mork,{2009-2013}
1422,Arne Mærk,Ersvik,{2009-2013}
1423,Arne L.,Haugen,"{2009-2013,2005-2009}"
1424,Aslaug,Hellesøy,{2009-2013}
1425,Astrid,Nygård,{2009-2013}
1426,Ann-Mari,Sund,{2009-2013}
1427,Aud Karin,Oen,"{2009-2013,2005-2009,2001-2005}"
1428,Bård,Langsåvold,"{2009-2013,2005-2009}"
1429,Brage,Baklien,{2009-2013}
1430,Bente,Bjerknes,{2009-2013}
1431,Berit,Ellingvåg,{2009-2013}
1432,Benedikte,Figenschou,{2009-2013}
1434,Berit,Kittelsen,{2009-2013}
1435,Benedikte Elisabeth,Tollefsen-Minos,"{2009-2013,2005-2009,2001-2005}"
1436,Bent Inge,Bye,"{2009-2013,1997-2001}"
1437,Bjørn Inge,Mo,{2009-2013}
1438,Bjarne,Holme,{2009-2013}
1439,Bjørn,Engen,{2009-2013}
1440,Bjørn,Seljestad,{2009-2013}
1441,Bjørn Magne,Langkås,"{2009-2013,2005-2009,2001-2005}"
1442,Brede,Bøe,{2009-2013}
1443,Britt,Homstvedt,{2009-2013}
1444,Brigt,Samdal,{2009-2013}
1445,Bjørn,Sæstad,{2009-2013}
1447,Bård Folke,Fredriksen,{2009-2013}
1448,Cine Finstad,Austnes,{2009-2013}
1449,Christina Nilsson,Ramsøy,{2009-2013}
1450,Camilla Storøy,Hermansen,{2009-2013}
1451,Daniel,Bjarmann-Simonsen,{2009-2013}
1453,Dag-Egil,Bull Sletholt,{2009-2013}
1455,Dag Helge,Hellen,{2009-2013}
1457,Elisabeth,Aaserød,{2009-2013}
1458,Eirik Dåstøl,Langeland,{2009-2013}
1459,Edvard,Mæland,"{2009-2013,2001-2005}"
1460,Erlend,Fuglum,"{2009-2013,2005-2009}"
1461,Egil,Hestnes,"{2009-2013,2001-2005}"
1462,Eirik Garnes,Lunde,{2009-2013}
1463,Egil,Nedal,{2009-2013}
1464,Eivind,Nævdal-Bolstad,{2009-2013}
1465,Einar,Almaas,{2009-2013}
1466,Eirik,Haga,{2009-2013}
1467,Eivind,Saga,{2009-2013}
1468,Espen Granberg,Johnsen,"{2009-2013,2005-2009,2001-2005}"
1469,Ellen Marie,Solheim,{2009-2013}
1470,Endre,Skjervø,"{2009-2013,2005-2009,2001-2005}"
1471,Eli Hovd,Prestegården,{2009-2013}
1472,Eskil Dahl,Olaussen,{2009-2013}
1473,Espen,Espeset,"{2009-2013,2005-2009}"
1474,Espen Agøy,Hegge,"{2009-2013,2005-2009}"
1475,Elizabeth,Skogrand,{2009-2013}
1476,Ellen Sofie,Solbrække,{2009-2013}
1477,Eivind,Torvik,{2009-2013}
1478,Ellinor Therese,Kreybu,{2009-2013}
1479,Eva Marie,Halvorsen,{2009-2013}
1480,Eva,Ottesen,{2009-2013}
1481,Even,Westerveld,{2009-2013}
1482,Frode Magnar,Ingvaldstad,{2009-2013}
1483,Fredrick,Makosir,{2009-2013}
1484,Frode Falch,Anmarkrud,"{2009-2013,2005-2009}"
1485,Fredrik,Sletbakk,{2009-2013}
1486,Frithjof,Vassbø,{2009-2013}
1487,Fred Willy Bakke,Aamelfot,{2009-2013}
1488,Gro Bratteli,Jamholt,"{2009-2013,2005-2009}"
1489,Geir Allan,Stava,{2009-2013}
1491,Gerd-Berit,Odberg,{2009-2013}
1494,Gunnar,Kongsrud,{2009-2013}
1495,Geirmund,Lykke,{2009-2013}
1496,Gunnar Owe,Gundersen,"{2009-2013,2005-2009}"
1498,Grete,Ellingsen,{2009-2013}
1499,Gro,Lundby,{2009-2013}
1500,Gard Erling,Schømer,{2009-2013}
1501,Geir,Smeby,{2009-2013}
1502,Gunn Marit,Helgesen,"{2009-2013,2005-2009,2001-2005,1997-2001}"
1503,Gunn Randi,Fjæstad,{2009-2013}
1505,Håkon,Haugli,{2009-2013}
1506,Hanne,Lyssand,{2009-2013}
1507,Halvar,Rønneberg,{2009-2013}
1508,Hanne,Braathen,{2009-2013}
1509,Harald,Larssen,{2009-2013}
1510,Heidi Berre,Paulsen,{2009-2013}
1511,Helene,Barkved,{2009-2013}
1512,Heidi,Sørensen,"{2009-2013,2005-2009,2001-2005}"
1513,Helen,Talleraas,{2009-2013}
1515,Helge,Fossum,{2009-2013}
1517,Hiam,Al-Chirout,{2009-2013}
1518,Helga,Opsett,{2009-2013}
1519,Hanne Maren,Blåfjelldal,"{2009-2013,2005-2009}"
1520,Hege Merethe,Gagnat,{2009-2013}
1522,Heidi,Ørnlo,{2009-2013}
1523,Herold,Paulsen,{2009-2013}
1524,Heidi M. T.,Runningen,{2009-2013}
1525,Hans,Seierstad,"{2009-2013,2001-2005}"
1527,Harald Victor,Hove,"{2009-2013,2005-2009}"
1528,Ivar,Skulstad,"{2009-2013,2005-2009}"
1529,Ida Marie,Holen,{2009-2013}
1530,Ismail Salad,Elmi,{2009-2013}
1531,Ingunn E.,Ulfsten,{2009-2013}
1532,Irene Henriksen,Aune,{2009-2013}
1533,Inge Hallgeir,Solli,"{2009-2013,2005-2009}"
1534,Inger Johanne,Bjørnstad,{2009-2013}
1536,Ingolf,Paller,{2009-2013}
1538,Inger-Brit,Vindegg,{2009-2013}
1540,Ivar,Vigdenes,{2009-2013}
1541,Jacob,Nødseth,{2009-2013}
1542,Jarle,Andreassen,{2009-2013}
1543,Jørn-Cato,Angell,{2009-2013}
1544,Janne,Evenhus,{2009-2013}
1545,Janne Haaland,Matlary,{2009-2013}
1546,Jonni Helge,Solsvik,{2009-2013}
1547,Jane,Solbrekken-Nygård,{2009-2013}
1548,Johan Lund,Furunes,{2009-2013}
1549,Jon Øyvind,Odland,"{2009-2013,2005-2009}"
1550,Joar Olav,Grøtting,{2009-2013}
1551,Jørgen,Olsen,"{2009-2013,2005-2009}"
1553,Jorun Kristine,Lundemo,{2009-2013}
1554,Joseph,Salomonsen,{2009-2013}
1555,Johannes,Rindal,"{2009-2013,2005-2009}"
1556,John Anders,Røse,{2009-2013}
1557,John,Thune,"{2009-2013,2005-2009,2001-2005}"
1558,Kari,Agerup,{2009-2013}
1559,Kari Martine Kolbræk,Ask,{2009-2013}
1560,Karin Kirsti Bakklund,Bjørkhaug,"{2009-2013,2005-2009}"
1561,Kjell Børre,Hansen,{2009-2013}
1562,Kåre,Fostervold,"{2009-2013,2005-2009}"
1563,Karl,Gjedrem,{2009-2013}
1564,Karstein,Golten,{2009-2013}
1565,Knut,Gravråk,"{2009-2013,2005-2009}"
1567,Khalid,Mahmood,"{2009-2013,2005-2009}"
1568,Karianne,Hansen,{2009-2013}
1569,Kjell Magne,Veivåg,{2009-2013}
1570,Kristoffer,Kanestrøm,{2009-2013}
1571,Kjetil Klakegg,Bergheim,{2009-2013}
1572,Karin Tønder,Knutsen,"{2009-2013,2005-2009}"
1573,Karine,Skaret,{2009-2013}
1574,Knut,Fagerbakke,{2009-2013}
1575,Knut Magnus,Olsen,"{2009-2013,2005-2009}"
1576,Kirsten Olava,Hofstad,{2009-2013}
1577,Knut Petter,Torgersen,"{2009-2013,2005-2009}"
1578,Kristiane,Berg,{2009-2013}
1579,Kristian Dahlberg,Hauge,"{2009-2013,2005-2009,2001-2005}"
1580,Kristine,Kvam,{2009-2013}
1581,Knut,Sjømæling,{2009-2013}
1582,Kari,Storstrand,{2009-2013}
1583,Kjell Arvid,Svendsen,"{2009-2013,2005-2009}"
1585,Karin,Yrvin,"{2009-2013,2005-2009,2001-2005}"
1586,Lars,Egeland,"{2009-2013,2005-2009,2001-2005}"
1588,Laila,Thorsen,{2009-2013}
1589,Lars Bjarne,Tvete,{2009-2013}
1590,Lene Cecilie,Mathisen,{2009-2013}
1592,Lars Erik,Ødegården,{2009-2013}
1593,Lars,Groth,"{2009-2013,2001-2005}"
1594,Lars Joakim,Hanssen,"{2009-2013,2005-2009}"
1595,Liv,Hauknes,{2009-2013}
1596,Linda,Holien,{2009-2013}
1598,Linda Karlsen,Duffy,{2009-2013}
1599,Lasse Kinden,Endresen,{2009-2013}
1600,Liv,Løberg,"{2009-2013,2001-2005}"
1601,Line Miriam,Sandberg,"{2009-2013,2005-2009}"
1603,Lotte Grepp,Knutsen,{2009-2013}
1604,Lars Peder,Nordbakken,{2009-2013}
1605,Line Skøii,Vennesland,"{2009-2013,2005-2009,1997-2001}"
1606,Leif,Eriksen,"{2009-2013,2005-2009}"
1607,Magnhild,Eia,"{2009-2013,2005-2009,2001-2005,1997-2001}"
1608,Marit,Amundsen,{2009-2013}
1609,Marit,Bals,{2009-2013}
1610,May Britt,Topland,{2009-2013}
1611,Morten,Drægni,"{2009-2013,2005-2009}"
1612,Magnus,Ellingsen,{2009-2013}
1613,Mette,Nord,"{2009-2013,2005-2009}"
1614,Monica,Finden,{2009-2013}
1615,Marion Gunstveit,Bojanowski,{2009-2013}
1616,Marie-Theres H.,Kolnes,{2009-2013}
1617,Michael Almvik,Meyer,{2009-2013}
1618,Marit Granhus,Kringlebotn,{2009-2013}
1619,Mari Lund,Arnem,{2009-2013}
1620,May Britt,Lunde,"{2009-2013,2005-2009,1997-2001}"
1622,Marit Neerland,Hopshaug,{2009-2013}
1623,Mohammed,Lazreg,{2009-2013}
1624,Monica,Klette,"{2009-2013,2005-2009,2001-2005}"
1625,Mona,Strand,{2009-2013}
1627,Magnus,Skretting,{2009-2013}
1628,Marita S.,Solaas,{2009-2013}
1629,Nicolai Alexander,Kirkeng,{2009-2013}
1630,Nina,Eltervåg,{2009-2013}
1631,Nina,Kristiansen,{2009-2013}
1632,Nina,Galta,{2009-2013}
1633,Nils Isak,Myklebust,"{2009-2013,2001-2005}"
1634,Odin Adelsten,Bohmann,{2009-2013}
1635,Odd,Mortensen,{2009-2013}
1636,Ole Gustav,Narud,{2009-2013}
1637,Oddvar Hallset,Reiakvam,"{2009-2013,2005-2009}"
1638,Ole Kristoffer,Tveiten,{2009-2013}
1639,Ola,Braanaas,{2009-2013}
1640,Odd,Gullberg,{2009-2013}
1641,Ole Johnny,Stavn,{2009-2013}
1643,Ove,Gundersen,{2009-2013}
1646,Pål,Forbergskog,{2009-2013}
1648,Pournima Namdeo,Patil,"{2009-2013,2005-2009}"
1650,Peter,Ørebech,{2009-2013}
1651,Ragnhild Aarflot,Kalland,"{2009-2013,2005-2009,2001-2005}"
1652,Ranjith,Molegoda,{2009-2013}
1653,Ragnhild,Stolt-Nielsen,{2009-2013}
1655,Reidar,Gullesen,{2009-2013}
1656,Remi,Iversen,{2009-2013}
1657,Rita,Navarsete,{2009-2013}
1658,Randi Iren,Rettedal,"{2009-2013,2005-2009}"
1659,Rikke,Kjølen,{2009-2013}
1660,Robin Martin,Kåss,{2009-2013}
1661,Randi,Ness,{2009-2013}
1662,Roar,Steinslien,{2009-2013}
1663,Rosalind,Fosse,{2009-2013}
1664,Rolf,Steffensen,{2009-2013}
1665,Ronny,Røste,"{2009-2013,2005-2009,1997-2001}"
1666,Ruth,Birkeland,{2009-2013}
1667,Rune,Bakervik,{2009-2013}
1668,Rune,Meier,{2009-2013}
1669,Rune,Øygarden,{2009-2013}
1671,Sandra,Strandos,{2009-2013}
1672,Solfrid,Borge,{2009-2013}
1673,Sverre,Bugge,"{2009-2013,2005-2009}"
1674,Signy,Grape,{2009-2013}
1675,Sølvi Gjerdal,Thomassen,{2009-2013}
1676,Svein-Helge,Hanken,{2009-2013}
1677,Siri Hov,Eggen,"{2009-2013,2001-2005}"
1678,Sigrid,Engenes,{2009-2013}
1679,Sigmund,Hagen,"{2009-2013,2001-2005}"
1680,Siri,Klokkerstuen,{2009-2013}
1681,Sissel,Larsen,{2009-2013}
1682,Siv-Len,Strandskog,{2009-2013}
1683,Stein,Knutsen,"{2009-2013,2005-2009}"
1684,Steinar,Kristiansen,{2009-2013}
1685,Stein Roger,Nilsen,{2009-2013}
1686,Sonja,Edvardsen,{2009-2013}
1688,Solveig Kopperstad,Bratseth,"{2009-2013,2005-2009,2001-2005}"
1690,Solveig,Rindhølen,"{2009-2013,2005-2009}"
1691,Solveig Annette,Røvik,{2009-2013}
1692,Siv Aida Rui,Skattem,{2009-2013}
1693,Sturla,Sørgaard,{2009-2013}
1694,Steinar,Amundsen,"{2009-2013,2005-2009}"
1695,Ståle,Vaag,{2009-2013}
1696,Steinulf,Tungesvik,{2009-2013}
1697,Stian Tvede,Karlsen,{2009-2013}
1699,Sunniva Ihle,Steinstad,"{2009-2013,2005-2009}"
1701,Tor André,Ljosland,{2009-2013}
1702,Tomas C.,Archer,{2009-2013}
1704,Tone-Beathe,Øvrevoll,{2009-2013}
1705,Terje,Erlandsen,{2009-2013}
1707,Terje,Olsen,{2009-2013}
1708,Thor-Erling,Engemyr,{2009-2013}
1709,Trygve,Westgård,{2009-2013}
1711,Thrond,Gjelseth,{2009-2013}
1712,Thomas,Olsen,{2009-2013}
1713,Tove Linnea,Brandvik,"{2009-2013,2005-2009}"
1714,Torstein,Lerhol,{2009-2013}
1715,Tone Lise,Nilsen,{2009-2013}
1716,Tina Nasha Sankei,Skogmo,{2009-2013}
1718,Torunn Austdal,Rasmussen,{2009-2013}
1719,Tone,Liljeroth,{2009-2013}
1720,Tor Erik,Jensen,{2009-2013}
1722,Tone,Ravnås,{2009-2013}
1723,Tone Helene,Strat,"{2009-2013,2005-2009}"
1724,Torgeir,Dahl,{2009-2013}
1725,Torill,Vebenstad,{2009-2013}
1728,Truls,Gjefsen,{2009-2013}
1729,Trude,Holm,{2009-2013}
1730,Torleiv Ole,Rognum,{2009-2013}
1731,Trond,Røed,{2009-2013}
1732,Tommy,Sarnes,{2009-2013}
1733,Trond,Seth,{2009-2013}
1734,Tom Strømstad,Olsen,"{2009-2013,2005-2009}"
1735,Tom,Staahle,"{2009-2013,2005-2009}"
1736,Turid Spangen,Wilhelmsen,{2009-2013}
1737,Iren Almvik,Meyer,{2009-2013}
1738,Thore,Westermoen,"{2009-2013,2005-2009,1997-2001}"
1740,Viggo,Fossum,{2009-2013}
1741,Vibeke,Stjern,{2009-2013}
1743,Willy,Pedersen,{2009-2013}
1744,Wenche Haffnes,Andersen,"{2009-2013,2005-2009}"
1745,Wenche Snildalsli,Vuttudal,{2009-2013}
1748,Arild,Alfredsen,{2005-2009}
1750,Anne Berit,Andersen,"{2005-2009,2001-2005,1997-2001}"
1751,Anne Kari,Birkeland,{2005-2009}
1752,Anne-Mari,Aalberg,{2005-2009}
1754,Anne Grethe Fremgaard,Kvitberg,"{2005-2009,2001-2005}"
1756,Arnfinn,Andreassen,{2005-2009}
1757,Anniken,Holtnæs,{2005-2009}
1758,Astrid,Bekkenes,{2005-2009}
1759,Annikken Kjær,Haraldsen,{2005-2009}
1760,Anton Leier,Dahl,{2005-2009}
1761,Andreas M.,Lervik,"{2005-2009,2001-2005}"
1762,Alf E.,Jakobsen,"{2005-2009,2001-2005}"
1763,Anders,Mjelde,{2005-2009}
1764,Anna Ceselie Brustad,Moe,{2005-2009}
1765,Andreas,Hamnes,{2005-2009}
1766,Anders,Krane,"{2005-2009,2001-2005}"
1767,Ann Merete,Furuberg,"{2005-2009,2001-2005}"
1769,Anne,Berger,{2005-2009}
1770,Anne-Cecilie,Kaltenborn,{2005-2009}
1771,Arnt Ove,Hopland,{2005-2009}
1772,Anita,Østby,{2005-2009}
1773,Arnt Arild,Gåsland,{2005-2009}
1774,Anne Lise,Ryel,{2005-2009}
1776,Arne,Sekkelsten,{2005-2009}
1777,Åshild,Tungen,{2005-2009}
1778,Arnt-Helge S.,Johansen,{2005-2009}
1780,Arne,Storhaug,"{2005-2009,2001-2005}"
1781,Aisa,Fredh,{2005-2009}
1782,Audun,Blegen,"{2005-2009,2001-2005}"
1783,Aud,Kvalbein,"{2005-2009,2001-2005}"
1784,Audun,Rødningsby,{2005-2009}
1785,Anette Wiig,Bryn,{2005-2009}
1787,Bente,Bondhus,{2005-2009}
1788,Beate Heieren,Hundhammer,"{2005-2009,2001-2005,1997-2001}"
1789,Berit,Stormoen,{2005-2009}
1792,Bijan,Gharahkhani,{2005-2009}
1794,Bjørg Jansen,Mikalsen,{2005-2009}
1795,Bjørg-Irene,Østrem,{2005-2009}
1796,Bjørg,Riksfjord,"{2005-2009,2001-2005}"
1799,Bjarne,Kvadsheim,{2005-2009}
1800,Bjørg,Sandal,{2005-2009}
1801,Bjørn Sturla,Odden,{2005-2009}
1802,Bjarne,Steen,"{2005-2009,2001-2005}"
1803,Bjørg Tysdal,Moe,{2005-2009}
1804,Benedicte Thu,Nørgaard,{2005-2009}
1805,Cathrin,Bretzeg,{2005-2009}
1806,Charles,Mortensen,"{2005-2009,2001-2005}"
1807,Christoffer Horsfjord,Nilsen,"{2005-2009,2001-2005,1997-2001}"
1808,Christina,Hætta,{2005-2009}
1809,Cecilie Thaule,Løvlid,{2005-2009}
1810,Dagfinn,Sundsbø,"{2005-2009,2001-2005,1997-2001}"
1811,Dag Henrik,Sandbakken,{2005-2009}
1812,Dag,Mysen,{2005-2009}
1813,Dag,Vige,{2005-2009}
1814,Eli Årdal,Berland,{2005-2009}
1815,Ellen,Alfsen,"{2005-2009,2001-2005}"
1816,Elsa,Erland,{2005-2009}
1817,Elisabeth Eide,Tharaldsen,{2005-2009}
1818,Eli,Hanserud,{2005-2009}
1819,Erlend,Helle,{2005-2009}
1820,Eli,Høsøien,"{2005-2009,1997-2001}"
1821,Eivind Norman,Borge,{2005-2009}
1822,Einar,Lutro,{2005-2009}
1823,Edd,Wikhaug,{2005-2009}
1824,Eva,Ulland,{2005-2009}
1825,Elin,Frønsdal,{2005-2009}
1826,Elin Hetland,Mong,{2005-2009}
1827,Elin Merete,Førde,{2005-2009}
1828,Ellen Marie,Tangen,{2005-2009}
1829,Ellen,Samuelsen,{2005-2009}
1831,Espen Torsteinsbø,Hansen,{2005-2009}
1832,Espen,Villanger,{2005-2009}
1833,Eva,Bjøreng,{2005-2009}
1834,Eva Jeanette,Sandøy,{2005-2009}
1836,Eyolf,Bakke,"{2005-2009,2001-2005}"
1837,Frøydis,Austigard,{2005-2009}
1839,Frode,Berge,{2005-2009}
1840,Fatima Valdes,Haugstveit,{2005-2009}
1841,Grethe,Aasgaard,"{2005-2009,2001-2005,1997-2001}"
1842,Gunn Berit,Gjerde,{2005-2009}
1843,Gjertrud Elvseter,Eggen,{2005-2009}
1844,Georg,Indrevik,"{2005-2009,2001-2005}"
1845,Geir,Knutsen,{2005-2009}
1846,Gunhild Fundlid,Brevig,{2005-2009}
1847,Guro Sæter,Hollingsholm,{2005-2009}
1848,Gunn Irene,Kjenstad,{2005-2009}
1850,Grethe,Lunde,{2005-2009}
1851,Gunnar,Hynne,{2005-2009}
1852,Gunnar,Osland,{2005-2009}
1853,Gry,Larsen,"{2005-2009,1997-2001}"
1854,Gro,Skartveit,{2005-2009}
1856,Gunnar,Skjellvik,{2005-2009}
1857,Hanne,Them-Enger,{2005-2009}
1858,Torleif,Haugland,{2005-2009}
1859,Harald,Valved,{2005-2009}
1860,Helge,Haukeland,{2005-2009}
1861,Helge,Gårdsvoll,{2005-2009}
1862,Henrik Gottfries,Kierulf,{2005-2009}
1863,Hilde-Gunn,Bjelde,{2005-2009}
1864,Hilde,Thorkildsen,{2005-2009}
1865,Hilde,Grønhovd,{2005-2009}
1866,Hans J.,Eriksen,{2005-2009}
1867,Heidi,Larssen,"{2005-2009,2001-2005}"
1869,Hege,Otterholm,{2005-2009}
1870,Hans Gjeisar,Kjæstad,"{2005-2009,2001-2005,1997-2001}"
1871,Henrik Viborg,Lindstøl,{2005-2009}
1872,Ida Løken,Killie,{2005-2009}
1873,Inga,Fjeldsgaard,{2005-2009}
1874,Iver G.,Nordseth,"{2005-2009,1997-2001}"
1876,Ingrid I.,Opedal,"{2005-2009,2001-2005}"
1877,Ida-May Lea,Hagen,{2005-2009}
1878,Ingvar Torsvik,Myrvollen,"{2005-2009,2001-2005}"
1879,Ingmar,Ljones,"{2005-2009,2001-2005}"
1882,Inger-Lill,Portaasen,{2005-2009}
1883,Ingvild Vaggen,Malvik,"{2005-2009,2001-2005}"
1884,Irene,Øyangen,{2005-2009}
1885,Ida Karine,Solheim,"{2005-2009,2001-2005}"
1887,Ingrid,Skårmo,{2005-2009}
1888,Inger Marie,Tørresdal,{2005-2009}
1889,Ivar,Hognestad,{2005-2009}
1890,John Ole,Aspli,{2005-2009}
1891,Jannicke Haugan,Vikse,{2005-2009}
1892,Jan,Torset,{2005-2009}
1893,Jarl Birger,Høva,{2005-2009}
1894,Jan Christian,Kolstø,{2005-2009}
1895,Jeanette,Hoel,{2005-2009}
1896,Jan Fredrik,Vogt,{2005-2009}
1897,Jostein,Havnerås,"{2005-2009,1997-2001}"
1898,Jan,Harsem,{2005-2009}
1899,Jack,Jensen,{2005-2009}
1900,John-Ragnar,Aarset,"{2005-2009,2001-2005}"
1901,Jorunn K. Eide,Kirketeig,{2005-2009}
1902,Jørund,Leknes,"{2005-2009,2001-2005}"
1903,Jennie Nicola,Johnsen,{2005-2009}
1905,John Peter,Hernes,{2005-2009}
1906,Johnny,Hult,"{2005-2009,2001-2005}"
1907,Jan Rudy,Kristensen,{2005-2009}
1909,Johanne,Skjølberg,{2005-2009}
1910,Jens,Sveaass,{2005-2009}
1911,John Trygve,Tollefsen,{2005-2009}
1912,Karima,Abd-Daif,{2005-2009}
1914,Kjellaug Ekse,Brekkhus,{2005-2009}
1915,Kjell Erik,Øie,{2005-2009}
1916,Kari Haugen,Pettersen,{2005-2009}
1917,Kirsten,Hasvoll,{2005-2009}
1918,Kjell-Are,Johansen,{2005-2009}
1919,Kjetil,Balog,{2005-2009}
1920,Kjell Runar,Evju,{2005-2009}
1921,Kjell Emil,Krüger,{2005-2009}
1922,Kjetil,Sørbø,{2005-2009}
1923,Kjersti,Løge,{2005-2009}
1924,Kari Kleiv,Redalen,{2005-2009}
1926,Kåre,Mathiassen,{2005-2009}
1927,Karen Marie,Hartmark,"{2005-2009,2001-2005}"
1928,Knud Edmund,Berthelsen,{2005-2009}
1929,Kari Østervold,Toft,{2005-2009}
1930,Kathrine,Rodahl,{2005-2009}
1931,Kirsti,Saxi,"{2005-2009,2001-2005,1997-2001}"
1933,Knut Werner,Hansen,"{2005-2009,2001-2005,1997-2001}"
1934,Lisbeth Lunde,Axelsen,"{2005-2009,2001-2005}"
1935,Laila,Skaret,{2005-2009}
1936,Laila,Melkevoll,{2005-2009}
1937,Lisbeth,Bøhler,{2005-2009}
1940,Linda,Khalayli,{2005-2009}
1941,Linn,Laupsa,"{2005-2009,2001-2005}"
1942,Lars-Henrik P.,Michelsen,{2005-2009}
1945,Linda Tverrånes,Moen,"{2005-2009,2001-2005}"
1946,Lise,Karlsen,{2005-2009}
1947,May Britt,Vihovde,"{2005-2009,2001-2005,1997-2001}"
1948,Magnus,Straume,"{2005-2009,2001-2005}"
1949,Magnhild,Holmberg,{2005-2009}
1950,Marianne,Antonsen,{2005-2009}
1953,Mette S.,Korsrud,"{2005-2009,2001-2005}"
1954,Melinda,Kvinlaug,{2005-2009}
1955,Merete,Hannevig,{2005-2009}
1956,Maja Foss,Five,{2005-2009}
1957,Marit,Gilleberg,{2005-2009}
1959,Mari Helén,Varøy,{2005-2009}
1960,Michael,Momyr,"{2005-2009,2001-2005,1997-2001}"
1961,Mona,Jørgensen,{2005-2009}
1962,Marta,Kvikne,{2005-2009}
1964,Marit,Norborg,{2005-2009}
1965,Morten,Strand,"{2005-2009,2001-2005}"
1966,Nils Marton,Aadland,{2005-2009}
1967,Nils,Bjørnflaten,{2005-2009}
1968,Nils-Olav,Skilbred,"{2005-2009,2001-2005,1997-2001}"
1969,Nils Peter,Undebakke,{2005-2009}
1970,Natacha,Rivera,{2005-2009}
1971,Ove,Vanebo,{2005-2009}
1972,Oddlaug Børseth,Brekken,{2005-2009}
1973,Oddvar,Grøthe,{2005-2009}
1975,Odd Harald,Johansen,{2005-2009}
1976,Odd Jostein,Zazzera,"{2005-2009,2001-2005,1997-2001}"
1978,Olaf,Gjedrem,"{2005-2009,2001-2005,1997-2001}"
1979,Olaf,Thommessen,{2005-2009}
1980,Ole Henrik,Grønn,{2005-2009}
1982,Ole-Anton,Teigen,"{2005-2009,2001-2005}"
1983,Olav Magnus,Linge,{2005-2009}
1984,Ola Martin,Retterholt,"{2005-2009,2001-2005}"
1986,Oddbjørn,Vatne,"{2005-2009,2001-2005}"
1987,Per Egil,Evensen,{2005-2009}
1989,Per-Olav,Lauvstad,{2005-2009}
1990,Per Johannes,Ervik,{2005-2009}
1991,Per Kristian,Dahl,{2005-2009}
1992,Per Kristian,Nielsen,{2005-2009}
1993,Per Kristian,Paulsen,{2005-2009}
1994,Per,Skjærvik,{2005-2009}
1995,Petter Kvinge,Tvedt,{2005-2009}
1996,Per Ole,Larsen,{2005-2009}
1997,Pernille With,Egeberg,{2005-2009}
1998,Reidar,Stangenes,{2005-2009}
1999,Reidun Hadisha,Berrami,{2005-2009}
2001,Rolf Jarle,Brøske,"{2005-2009,2001-2005}"
2002,Randi,Eikevik,{2005-2009}
2003,Randi Myrvang,Næss,{2005-2009}
2004,Ragnhild,Myklebust,{2005-2009}
2005,Roger Harstad,Olsen,{2005-2009}
2006,Roald,Linaker,"{2005-2009,2001-2005}"
2007,Roy Arne,Mathisen,{2005-2009}
2008,Rolf,Nesheim,{2005-2009}
2010,Randi Sollie,Denstad,{2005-2009}
2012,Roald,Stenseide,"{2005-2009,2001-2005}"
2013,Roald,Fiksdal,"{2005-2009,2001-2005}"
2015,Sigbjørn,Aanes,{2005-2009}
